file	EN	PL	reason
DA_Common/Barony/BaronReputationTiers.cs	+15 Loyalty and −10 Corruption; +30 Economy, Defense, and Intelligence; +5 Bluff and Trade.	+15 Lojalność i −10 Korupcja; +30 Ekonomia, Obrona i Wywiad; +5 Blef i Handel.	non-texty literal
DA_Common/Barony/BaronReputationTiers.cs	−15 Stability and Law; −15 Production, Food, and Defense; −3 Intimidate and Inspire (Command).	−15 Stabilność i Prawo; −15 Produkcja, Wyżywienie i Obrona; −3 Zastraszanie i Inspiracja (Dowodzenie).	non-texty literal
DA_Common/Barony/BaronReputationTiers.cs	−8 Stability and Law; −8 Production, Food, and Defense; −2 Intimidate and Inspire (Command).	−8 Stabilność i Prawo; −8 Produkcja, Wyżywienie i Obrona; −2 Zastraszanie i Inspiracja (Dowodzenie).	non-texty literal
DA_Common/Barony/BaronReputationTiers.cs	−3 Stability and Law; −3 Production, Food, and Defense; −1 Intimidate and Inspire (Command).	−3 Stabilność i Prawo; −3 Produkcja, Wyżywienie i Obrona; −1 Zastraszanie i Inspiracja (Dowodzenie).	non-texty literal
DA_Common/Barony/BaronyUiTooltips.cs	MG modifier {(modifier > 0 ? 	korekta MG {(modifier > 0 ? 	interpolation/format
DA_Common/Barony/BaronyUiTooltips.cs	Economic conjuncture this turn: {effective} (2d6 = {dice}, {modText}).\n	Koniunktura gospodarcza w tej turze: {effective} (2d6 = {dice}, {modText}).\n	interpolation/format
DA_Common/Barony/BaronyUiTooltips.cs	(1) net Gold profit (Economy + Conjuncture) × {EconomyConjunctureFormulas.NetProfitGoldFactor:0}; 	(1) zysk netto w Złocie (Ekonomia + Koniunktura) × {EconomyConjunctureFormulas.NetProfitGoldFactor:0}; 	interpolation/format
DA_Common/Barony/BaronyUiTooltips.cs	(2) (Conjuncture − 7) in the % formula on Gold, Production, Loyalty, Stability, Magic, Culture, Science, and Defense.	(2) (Koniunktura − 7) we wzorze % dla Złota, Produkcji, Lojalności, Stabilności, Magii, Kultury, Nauki i Obrony.	non-texty literal
DA_Common/Barony/BaronyUiTooltips.cs	Domain Panel grand total for {name} this turn: {PpbFormat.Additive(value)}.\n	Suma całkowita Panelu Domeny dla {name} w tej turze: {PpbFormat.Additive(value)}.\n	interpolation/format
DA_Common/Barony/BaronyUiTooltips.cs	(Economy + Conjuncture) × {EconomyConjunctureFormulas.NetProfitGoldFactor:0}.	(Ekonomia + Koniunktura) × {EconomyConjunctureFormulas.NetProfitGoldFactor:0}.	interpolation/format
DA_Common/Barony/BaronyUiTooltips.cs	Current stock: {PpbFormat.Number(stock)}.\n	Bieżący zapas: {PpbFormat.Number(stock)}.\n	interpolation/format
DA_Common/Barony/BaronyUiTooltips.cs	Expected change this turn: {deltaText} (Domain Panel grand total).	Oczekiwana zmiana w tej turze: {deltaText} (suma całkowita Panelu Domeny).	interpolation/format
DA_Common/Barony/FiefTributeFormulas.cs	= Gross income × {ClampPercent(liegeTributePercent):0.#}%\n	= Dochód brutto × {ClampPercent(liegeTributePercent):0.#}%\n	interpolation/format
DA_Common/Barony/FiefTributeFormulas.cs	Gross income (Domain Panel gold income before expenses) = {PpbFormat.Number(grossIncome)}.\n	Dochód brutto (dochód w złocie z Panelu Domeny przed wydatkami) = {PpbFormat.Number(grossIncome)}.\n	interpolation/format
DA_Common/Barony/FiefTributeFormulas.cs	Tribute to senior = {PpbFormat.Number(tribute)} gold.	Trybut dla suzerena = {PpbFormat.Number(tribute)} złota.	interpolation/format
DA_Common/Barony/FiefTributeFormulas.cs	= Village gold × {ClampPercent(vassalTributePercent):0.#}%\n	= Złoto wioski × {ClampPercent(vassalTributePercent):0.#}%\n	interpolation/format
DA_Common/Barony/FiefTributeFormulas.cs	Full village gold = {PpbFormat.Number(fullTreasury)}; baron keeps {PpbFormat.Number(kept)} 	Pełne złoto wioski = {PpbFormat.Number(fullTreasury)}; baron zachowuje {PpbFormat.Number(kept)} 	interpolation/format
DA_Common/Barony/FiefTributeFormulas.cs	Default {DefaultPercent:0}%; MG can change the rate on Budget.	Domyślnie {DefaultPercent:0}%; MG może zmienić stawkę w Budżecie.	interpolation/format
DA_Common/Barony/FiefTributeFormulas.cs	Default {DefaultPercent:0}%; MG can change the rate on Budget.	Domyślnie {DefaultPercent:0}%; MG może zmienić stawkę w Budżecie.	interpolation/format
DA_Common/Barony/LuxuryGoodsAccessCatalog.cs	−2 Stability, −2 Loyalty	−2 Stabilność, −2 Lojalność	non-texty literal
DA_Common/Barony/MarchMapTradeRouteDisplay.cs	Route to {lord.Holdings}	Trasa do {lord.Holdings}	interpolation/format
DA_Common/Barony/MarchMapTradeRouteDisplay.cs	{name} (pending)	{name} (w toku)	interpolation/format
DA_Common/Barony/TradeGoodAvailability.cs	noteParts.Add($"{availableGoods.Count} available good{(availableGoods.Count == 1 ? "" : "s")}");	noteParts.Add($"dostępne towary: {availableGoods.Count}");	unresolved line
DA_Common/Barony/TradeGoodAvailability.cs	luxury — {luxury.NameEn}	luksus — {luxury.NameEn}	interpolation/format
DA_Common/Barony/TradeGoodAvailability.cs	route economy {PpbFormat.Additive(routeEconomy)}	ekonomia trasy {PpbFormat.Additive(routeEconomy)}	interpolation/format
DA_Common/Barony/TradeGoodAvailability.cs	customs & sweeteners {PpbFormat.Additive(-goldOutflow)} Gold	cła i zachęty {PpbFormat.Additive(-goldOutflow)} Złota	interpolation/format
DA_Common/Barony/UnitEquipmentCatalog.cs	{w.Name}: need Build {w.RequiredBuild} (have {build}).	{w.Name}: wymaga Budowy {w.RequiredBuild} (masz {build}).	interpolation/format
DA_Common/Barony/UnitEquipmentCatalog.cs	{w.Name}: need Agility {w.RequiredAgility} (have {agility}).	{w.Name}: wymaga Zwinności {w.RequiredAgility} (masz {agility}).	interpolation/format
DA_Common/Barony/UnitEquipmentCatalog.cs	{a.Name}: need Build {a.RequiredBuild} (have {build}).	{a.Name}: wymaga Budowy {a.RequiredBuild} (masz {build}).	interpolation/format
DA_Common/Barony/UnitEquipmentCatalog.cs	{a.Name}: need Armor skill {a.RequiredArmorSkill} (have {armorSkill}).	{a.Name}: wymaga umiejętności Pancerz {a.RequiredArmorSkill} (masz {armorSkill}).	interpolation/format
DA_Common/Barony/UnitEquipmentCatalog.cs	{m.Name}: need Riding {m.RequiredRiding} (have {ridingSkill}).	{m.Name}: wymaga Jazdy {m.RequiredRiding} (masz {ridingSkill}).	interpolation/format
DA_Common/Barony/UnitRecruitAndSkills.cs	Press-ganged recruits. Loyalty −7 and Stability −7 for 3 turns.	Wcieleni pod przymusem rekruci. Lojalność −7 i Stabilność −7 przez 3 tury.	non-texty literal
DA_Common/Barony/UnitRecruitAndSkills.cs	No Defense/gold cost. Starts event Forced hire: Loyalty −7, Stability −7 for 3 turns.	Brak kosztu Obrony/złota. Rozpoczyna wydarzenie „Przymusowy zaciąg”: Lojalność −7, Stabilność −7 przez 3 tury.	non-texty literal
DA_Common/RollService.cs	{skill} + {roll.Text} is {RichText.BoldText(total.ToString())} vs DC: {RichText.BoldText(dc.ToString())}. {RichText.BoldText(outcome)}	{skill} + {roll.Text} to {RichText.BoldText(total.ToString())} vs PT: {RichText.BoldText(dc.ToString())}. {RichText.BoldText(outcome)}	interpolation/format
DA_Common/RollService.cs	Tie! {RichText.BoldText(name1)} wins on equal totals.	Remis! {RichText.BoldText(name1)} wygrywa przy równych sumach.	interpolation/format
DA_Common/RollService.cs	{RichText.BoldText(name1)} wins!	{RichText.BoldText(name1)} wygrywa!	interpolation/format
DA_Common/RollService.cs	{RichText.BoldText(name2)} wins!	{RichText.BoldText(name2)} wygrywa!	interpolation/format
DagoniteEmpire/Account/Pages/ConfirmEmail.razor	Error loading user with ID {UserId}	Błąd podczas ładowania użytkownika o identyfikatorze {UserId}	interpolation/format
DagoniteEmpire/Account/Pages/ConfirmEmailChange.razor	Unable to find user with Id '{userId}'	Nie można znaleźć użytkownika o identyfikatorze '{userId}'	interpolation/format
DagoniteEmpire/Account/Pages/ExternalLogin.razor	<h2>Associate your @ProviderDisplayName account.</h2>	<h2>Powiąż swoje konto @ProviderDisplayName.</h2>	unresolved line
DagoniteEmpire/Account/Pages/ExternalLogin.razor	You've successfully authenticated with <strong>@ProviderDisplayName</strong>.	Uwierzytelnianie przez <strong>@ProviderDisplayName</strong> zakończyło się pomyślnie.	unresolved line
DagoniteEmpire/Account/Pages/ExternalLogin.razor	Error from external provider: {RemoteError}	Błąd z zewnętrznego dostawcy: {RemoteError}	interpolation/format
DagoniteEmpire/Account/Pages/ExternalLogin.razor	Please confirm your account by <a href='{HtmlEncoder.Default.Encode(callbackUrl)}'>clicking here</a>.	Potwierdź swoje konto, <a href='{HtmlEncoder.Default.Encode(callbackUrl)}'>klikając tutaj</a>.	interpolation/format
DagoniteEmpire/Account/Pages/ExternalLogin.razor	Error: {string.Join(	Błąd: {string.Join(	interpolation/format
DagoniteEmpire/Account/Pages/ExternalLogin.razor	[Required]	[Required(ErrorMessage = "Pole {0} jest wymagane.")]	unresolved line
DagoniteEmpire/Account/Pages/ExternalLogin.razor	[EmailAddress]	[EmailAddress(ErrorMessage = "Pole {0} musi być prawidłowym adresem e-mail.")]	unresolved line
DagoniteEmpire/Account/Pages/ForgotPassword.razor	Please reset your password by <a href='{HtmlEncoder.Default.Encode(callbackUrl)}'>clicking here</a>.	Zresetuj swoje hasło, <a href='{HtmlEncoder.Default.Encode(callbackUrl)}'>klikając tutaj</a>.	interpolation/format
DagoniteEmpire/Account/Pages/ForgotPassword.razor	[Required]	[Required(ErrorMessage = "Pole {0} jest wymagane.")]	unresolved line
DagoniteEmpire/Account/Pages/ForgotPassword.razor	[EmailAddress]	[EmailAddress(ErrorMessage = "Pole {0} musi być prawidłowym adresem e-mail.")]	unresolved line
DagoniteEmpire/Account/Pages/Login.razor	<p>- Password: Guest123*</p>	<p>- Hasło: Guest123*</p>	unresolved line
DagoniteEmpire/Account/Pages/Login.razor	<p>- Password: Guest123*</p>	<p>- Hasło: Guest123*</p>	unresolved line
DagoniteEmpire/Account/Pages/Login.razor	[Required]	[Required(ErrorMessage = "Pole {0} jest wymagane.")]	unresolved line
DagoniteEmpire/Account/Pages/Login.razor	[EmailAddress]	[EmailAddress(ErrorMessage = "Pole {0} musi być prawidłowym adresem e-mail.")]	unresolved line
DagoniteEmpire/Account/Pages/Login.razor	[Required]	[Required(ErrorMessage = "Pole {0} jest wymagane.")]	unresolved line
DagoniteEmpire/Account/Pages/LoginWith2fa.razor	[Required]	[Required(ErrorMessage = "Pole {0} jest wymagane.")]	unresolved line
DagoniteEmpire/Account/Pages/LoginWith2fa.razor	The {0} must be at least {2} and at max {1} characters long.	Pole {0} musi mieć co najmniej {2} i maksymalnie {1} znaków.	interpolation/format
DagoniteEmpire/Account/Pages/LoginWithRecoveryCode.razor	[Required]	[Required(ErrorMessage = "Pole {0} jest wymagane.")]	unresolved line
DagoniteEmpire/Account/Pages/Manage/ChangePassword.razor	Error: {string.Join(	Błąd: {string.Join(	interpolation/format
DagoniteEmpire/Account/Pages/Manage/ChangePassword.razor	[Required]	[Required(ErrorMessage = "Pole {0} jest wymagane.")]	unresolved line
DagoniteEmpire/Account/Pages/Manage/ChangePassword.razor	[Required]	[Required(ErrorMessage = "Pole {0} jest wymagane.")]	unresolved line
DagoniteEmpire/Account/Pages/Manage/ChangePassword.razor	The {0} must be at least {2} and at max {1} characters long.	Pole {0} musi mieć co najmniej {2} i maksymalnie {1} znaków.	interpolation/format
DagoniteEmpire/Account/Pages/Manage/Email.razor	Please confirm your account by <a href='{HtmlEncoder.Default.Encode(callbackUrl)}'>clicking here</a>.	Potwierdź swoje konto, <a href='{HtmlEncoder.Default.Encode(callbackUrl)}'>klikając tutaj</a>.	interpolation/format
DagoniteEmpire/Account/Pages/Manage/Email.razor	Please confirm your account by <a href='{HtmlEncoder.Default.Encode(callbackUrl)}'>clicking here</a>.	Potwierdź swoje konto, <a href='{HtmlEncoder.Default.Encode(callbackUrl)}'>klikając tutaj</a>.	interpolation/format
DagoniteEmpire/Account/Pages/Manage/Email.razor	[Required]	[Required(ErrorMessage = "Pole {0} jest wymagane.")]	unresolved line
DagoniteEmpire/Account/Pages/Manage/Email.razor	[EmailAddress]	[EmailAddress(ErrorMessage = "Pole {0} musi być prawidłowym adresem e-mail.")]	unresolved line
DagoniteEmpire/Account/Pages/Manage/EnableAuthenticator.razor	[Required]	[Required(ErrorMessage = "Pole {0} jest wymagane.")]	unresolved line
DagoniteEmpire/Account/Pages/Manage/EnableAuthenticator.razor	The {0} must be at least {2} and at max {1} characters long.	Pole {0} musi mieć co najmniej {2} i maksymalnie {1} znaków.	interpolation/format
DagoniteEmpire/Account/Pages/Manage/ExternalLogins.razor	Remove this @login.ProviderDisplayName login from your account	Usuń logowanie @login.ProviderDisplayName ze swojego konta	non-texty literal
DagoniteEmpire/Account/Pages/Manage/ExternalLogins.razor	Log in using your @provider.DisplayName account	Zaloguj się przy użyciu konta @provider.DisplayName	non-texty literal
DagoniteEmpire/Account/Pages/Manage/Index.razor	[Phone]	[Phone(ErrorMessage = "Pole {0} musi być prawidłowym numerem telefonu.")]	unresolved line
DagoniteEmpire/Account/Pages/Manage/SetPassword.razor	Error: {string.Join(	Błąd: {string.Join(	interpolation/format
DagoniteEmpire/Account/Pages/Manage/SetPassword.razor	[Required]	[Required(ErrorMessage = "Pole {0} jest wymagane.")]	unresolved line
DagoniteEmpire/Account/Pages/Manage/SetPassword.razor	The {0} must be at least {2} and at max {1} characters long.	Pole {0} musi mieć co najmniej {2} i maksymalnie {1} znaków.	interpolation/format
DagoniteEmpire/Account/Pages/Manage/TwoFactorAuthentication.razor	<strong>You have @recoveryCodesLeft recovery codes left.</strong>	<strong>Pozostało Ci @recoveryCodesLeft kodów odzyskiwania.</strong>	unresolved line
DagoniteEmpire/Account/Pages/Register.razor	Error: {string.Join(	Błąd: {string.Join(	interpolation/format
DagoniteEmpire/Account/Pages/Register.razor	Please confirm your account by <a href='{HtmlEncoder.Default.Encode(callbackUrl)}'>clicking here</a>.	Potwierdź swoje konto, <a href='{HtmlEncoder.Default.Encode(callbackUrl)}'>klikając tutaj</a>.	interpolation/format
DagoniteEmpire/Account/Pages/Register.razor	[Required]	[Required(ErrorMessage = "Pole {0} jest wymagane.")]	unresolved line
DagoniteEmpire/Account/Pages/Register.razor	The {0} must be at least {2} and at max {1} characters long.	Pole {0} musi mieć co najmniej {2} i maksymalnie {1} znaków.	interpolation/format
DagoniteEmpire/Account/Pages/Register.razor	[Required]	[Required(ErrorMessage = "Pole {0} jest wymagane.")]	unresolved line
DagoniteEmpire/Account/Pages/Register.razor	[Required]	[Required(ErrorMessage = "Pole {0} jest wymagane.")]	unresolved line
DagoniteEmpire/Account/Pages/Register.razor	[EmailAddress]	[EmailAddress(ErrorMessage = "Pole {0} musi być prawidłowym adresem e-mail.")]	unresolved line
DagoniteEmpire/Account/Pages/Register.razor	[Required]	[Required(ErrorMessage = "Pole {0} jest wymagane.")]	unresolved line
DagoniteEmpire/Account/Pages/Register.razor	The {0} must be at least {2} and at max {1} characters long.	Pole {0} musi mieć co najmniej {2} i maksymalnie {1} znaków.	interpolation/format
DagoniteEmpire/Account/Pages/ResendEmailConfirmation.razor	Please confirm your account by <a href='{HtmlEncoder.Default.Encode(callbackUrl)}'>clicking here</a>.	Potwierdź swoje konto, <a href='{HtmlEncoder.Default.Encode(callbackUrl)}'>klikając tutaj</a>.	interpolation/format
DagoniteEmpire/Account/Pages/ResendEmailConfirmation.razor	[Required]	[Required(ErrorMessage = "Pole {0} jest wymagane.")]	unresolved line
DagoniteEmpire/Account/Pages/ResendEmailConfirmation.razor	[EmailAddress]	[EmailAddress(ErrorMessage = "Pole {0} musi być prawidłowym adresem e-mail.")]	unresolved line
DagoniteEmpire/Account/Pages/ResetPassword.razor	Error: {string.Join(	Błąd: {string.Join(	interpolation/format
DagoniteEmpire/Account/Pages/ResetPassword.razor	[Required]	[Required(ErrorMessage = "Pole {0} jest wymagane.")]	unresolved line
DagoniteEmpire/Account/Pages/ResetPassword.razor	[EmailAddress]	[EmailAddress(ErrorMessage = "Pole {0} musi być prawidłowym adresem e-mail.")]	unresolved line
DagoniteEmpire/Account/Pages/ResetPassword.razor	[Required]	[Required(ErrorMessage = "Pole {0} jest wymagane.")]	unresolved line
DagoniteEmpire/Account/Pages/ResetPassword.razor	The {0} must be at least {2} and at max {1} characters long.	Pole {0} musi mieć co najmniej {2} i maksymalnie {1} znaków.	interpolation/format
DagoniteEmpire/Account/Pages/ResetPassword.razor	[Required]	[Required(ErrorMessage = "Pole {0} jest wymagane.")]	unresolved line
DagoniteEmpire/Account/PolishIdentityErrorDescriber.cs		using Microsoft.AspNetCore.Identity; |  | namespace DagoniteEmpire.Account; |  | /// <summary> | /// Polskie komunikaty błędów ASP.NET Core Identity (reguły haseł, konta, role). | /// </summary> | pub	unbalanced hunk
DagoniteEmpire/Account/Shared/ExternalLoginPicker.razor	about setting up this ASP.NET application to support logging in via external services</a>.	o konfigurowaniu tej aplikacji ASP.NET do obsługi logowania za pośrednictwem usług zewnętrznych</a>.	unresolved line
DagoniteEmpire/Account/Shared/ExternalLoginPicker.razor	Log in using your @provider.DisplayName account	Zaloguj się przy użyciu konta @provider.DisplayName	non-texty literal
DagoniteEmpire/Pages/Barony/ArmyPage.razor	<PageTitle>Dagonite Empire | Army</PageTitle>	<PageTitle>Dagonitowe Imperium | Armia</PageTitle>	unresolved line
DagoniteEmpire/Pages/Barony/ArmyPage.razor	(@_units.Count(u => u.IsActive) active · @_units.Count(u => u.IsTraining) still training).	(@_units.Count(u => u.IsActive) aktywne · @_units.Count(u => u.IsTraining) wciąż w szkoleniu).	unresolved line
DagoniteEmpire/Pages/Barony/ArmyPage.razor	Unit “{result.Unit.Name}” ready.	Oddział “{result.Unit.Name}” gotowy.	interpolation/format
DagoniteEmpire/Pages/Barony/ArmyPage.razor	Training project “{result.Project.Name}” created — fund it on Projects.	Utworzono projekt szkolenia “{result.Project.Name}” — sfinansuj go w Projektach.	interpolation/format
DagoniteEmpire/Pages/Barony/ArmyPage.razor	 Event “{recruit.EventEffect.Name}” started.	 Rozpoczęto wydarzenie “{recruit.EventEffect.Name}”.	interpolation/format
DagoniteEmpire/Pages/Barony/AudiencesPage.razor	<PageTitle>Dagonite Empire | Audiences</PageTitle>	<PageTitle>Dagonitowe Imperium | Audiencje</PageTitle>	unresolved line
DagoniteEmpire/Pages/Barony/AudiencesPage.razor	Additive PPB → Domain Panel Events · cumulative resources → Resource Balance (stocks immediately) · PHP → Baron Card (From Adventures).	Dodatki PPB → Wydarzenia Panelu Domeny · skumulowane zasoby → Bilans zasobów (od razu do zapasów) · PHP → Karta Barona (Z przygód).	unresolved line
DagoniteEmpire/Pages/Barony/AudiencesPage.razor	@info.NameEn	@info.NamePl	non-texty literal
DagoniteEmpire/Pages/Barony/AudiencesPage.razor	MG Speak as lists all courtiers from Court.	„Mów jako” MG wypisuje wszystkich dworzan z Dworu.	unresolved line
DagoniteEmpire/Pages/Barony/AudiencesPage.razor	<span>Turn @folder.Turn</span>	<span>Tura @folder.Turn</span>	unresolved line
DagoniteEmpire/Pages/Barony/AudiencesPage.razor	Created project \"{created.Name}\".	Utworzono projekt \"{created.Name}\".	interpolation/format
DagoniteEmpire/Pages/Barony/AudiencesPage.razor	From audience \"{a.Title}\" with {a.PetitionerName} (turn {a.TurnNumber}).	Z audiencji \"{a.Title}\" z {a.PetitionerName} (tura {a.TurnNumber}).	interpolation/format
DagoniteEmpire/Pages/Barony/AudiencesPage.razor	Chapter created: \"{chapter.Name}\".	Utworzono rozdział: \"{chapter.Name}\".	interpolation/format
DagoniteEmpire/Pages/Barony/AudiencesPage.razor	Chapter already exists: \"{chapter.Name}\".	Rozdział już istnieje: \"{chapter.Name}\".	interpolation/format
DagoniteEmpire/Pages/Barony/AudiencesPage.razor	Defer \"{a.Title}\" to next turn? It will reopen with the last exchange.	Odroczyć \"{a.Title}\" do następnej tury? Zostanie ponownie otwarta z ostatnią wymianą.	interpolation/format
DagoniteEmpire/Pages/Barony/AudiencesPage.razor	Dismiss \"{a.Title}\"? The petitioner will leave without a resolution.	Oddalić \"{a.Title}\"? Petent odejdzie bez rozstrzygnięcia.	interpolation/format
DagoniteEmpire/Pages/Barony/AudiencesPage.razor	    private static string PpbShort(Ppb p) => p switch |     { |         Ppb.Food => "Food", |         Ppb.Economy => "Econ", |         Ppb.Production => "Prod", |         Ppb.Loyalty => "Loy", |      	    private static string PpbShort(Ppb p) => PpbCatalog.Short(p);	unbalanced hunk
DagoniteEmpire/Pages/Barony/BaronCardPage.razor	<PageTitle>Dagonite Empire | Baron</PageTitle>	<PageTitle>Dagonitowe Imperium | Baron</PageTitle>	unresolved line
DagoniteEmpire/Pages/Barony/BattleMapPage.razor	<PageTitle>Dagonite Empire | Battle</PageTitle>	<PageTitle>Dagonitowe Imperium | Bitwa</PageTitle>	unresolved line
DagoniteEmpire/Pages/Barony/BattleMapPage.razor	· @GetPlanBudget(ActiveToken) move left	· @GetPlanBudget(ActiveToken) ruchu pozostało	unresolved line
DagoniteEmpire/Pages/Barony/BattleMapPage.razor	Enemy order: @ActiveToken!.Label — waiting for the Game Master.	Rozkaz przeciwnika: @ActiveToken!.Label — oczekiwanie na Mistrza Gry.	unresolved line
DagoniteEmpire/Pages/Barony/BattleMapPage.razor	@(onMap?.TroopCount ?? unit.TroopCount) men	@(onMap?.TroopCount ?? unit.TroopCount) ludzi	unresolved line
DagoniteEmpire/Pages/Barony/BattleMapPage.razor	@enemy.TroopCount men	@enemy.TroopCount ludzi	unresolved line
DagoniteEmpire/Pages/Barony/BattleMapPage.razor	0 = melee only; >0 = ranged unit	0 = tylko zwarcie; >0 = oddział dystansowy	non-texty literal
DagoniteEmpire/Pages/Barony/BattleMapPage.razor	Armor cut through by this unit's attacks; 0 = none	Pancerz przebijany przez ataki tego oddziału; 0 = brak	non-texty literal
DagoniteEmpire/Pages/Barony/BattleMapPage.razor	 ↻ turning	 ↻ obrót	non-texty literal
DagoniteEmpire/Pages/Barony/BattleMapPage.razor	{attacker.Label} is engaged — can only fight adjacent enemies.	{attacker.Label} jest związany walką — może walczyć tylko z sąsiednimi przeciwnikami.	interpolation/format
DagoniteEmpire/Pages/Barony/BattleMapPage.razor	{attacker.Label}'s charge attack is locked and cannot be changed.	Atak szarży oddziału {attacker.Label} jest zablokowany i nie może zostać zmieniony.	interpolation/format
DagoniteEmpire/Pages/Barony/BattleMapPage.razor	{attacker.Label} cleared attack order.	{attacker.Label} anulował rozkaz ataku.	interpolation/format
DagoniteEmpire/Pages/Barony/BattleMapPage.razor	{attacker.Label} shoot target: {planClicked.Label}{ShotPenaltyLabel(attacker, planClicked)}	{attacker.Label} cel strzału: {planClicked.Label}{ShotPenaltyLabel(attacker, planClicked)}	interpolation/format
DagoniteEmpire/Pages/Barony/BattleMapPage.razor	{attacker.Label} attack target: {planClicked.Label}	{attacker.Label} cel ataku: {planClicked.Label}	interpolation/format
DagoniteEmpire/Pages/Barony/BattleMapPage.razor	{token.Label} deployed at {FormatCell(x, y)}.	{token.Label} rozstawiony na {FormatCell(x, y)}.	interpolation/format
DagoniteEmpire/Pages/Barony/BattleMapPage.razor	{token.Label} recalled.	{token.Label} wycofany.	interpolation/format
DagoniteEmpire/Pages/Barony/BattleMapPage.razor	Remove “{token.Label}” from the battle map?	Usunąć „{token.Label}” z mapy bitwy?	interpolation/format
DagoniteEmpire/Pages/Barony/BattleMapPage.razor	Enemy {token.Label} removed.	Wróg {token.Label} usunięty.	interpolation/format
DagoniteEmpire/Pages/Barony/BattleMapPage.razor	Enemy {label} updated.	Wróg {label} zaktualizowany.	interpolation/format
DagoniteEmpire/Pages/Barony/BattleMapPage.razor	Enemy {token.Label} placed at {FormatCell(x, y)}.	Wróg {token.Label} umieszczony na {FormatCell(x, y)}.	interpolation/format
DagoniteEmpire/Pages/Barony/BattleMapPage.razor	{token.Label} moved to {FormatCell(nx, ny)}.	{token.Label} przemieścił się na {FormatCell(nx, ny)}.	interpolation/format
DagoniteEmpire/Pages/Barony/BattleMapPage.razor	{token.Label} cleared movement path.	{token.Label} wyczyścił ścieżkę ruchu.	interpolation/format
DagoniteEmpire/Pages/Barony/BattleMapPage.razor	{token.Label} locked waypoint at {FormatCell(nx, ny)} ({provisional.RemainingMoveAfter} move left).	{token.Label} zablokował punkt trasy na {FormatCell(nx, ny)} (pozostało ruchu: {provisional.RemainingMoveAfter}).	interpolation/format
DagoniteEmpire/Pages/Barony/BattleMapPage.razor	{token.Label} is engaged — moving at all costs a free half-strength hit.	{token.Label} jest związany walką — jakikolwiek ruch kosztuje darmowe trafienie o połowicznej sile.	interpolation/format
DagoniteEmpire/Pages/Barony/BattleMapPage.razor	{token.Label} is engaged — moving at all costs {freeHits} free half-strength hits.	{token.Label} jest związany walką — jakikolwiek ruch kosztuje {freeHits} darmowych trafień o połowicznej sile.	interpolation/format
DagoniteEmpire/Pages/Barony/BattleMapPage.razor	{token.Label} destination {FormatCell(nx, ny)} (cost {cost}, {remaining} left if locked).	{token.Label} cel {FormatCell(nx, ny)} (koszt {cost}, po zablokowaniu pozostanie {remaining}).	interpolation/format
